737851,19
737852,19
737853,34
737854,53
737855,81
737856,110
737857,27
737858,64
737859,94
737860,99
737861,174
737862,250
737863,338
737864,179
737865,214
737866,387
737867,422
737868,534
737869,713
737870,662
737871,469
737872,486
737873,1328
737874,1195
737875,1199
737876,1363
737877,1518
737878,844
737879,683
737880,1738
737881,1681
737882,1516
737883,1478
737884,1694
737885,922
737886,665
737887,1934
737888,1515
737889,1598
737890,2239
737891,2336
737892,1029
737893,524
737894,537
737895,1560
737896,1633
737897,1674
737898,1394
737899,722
737900,443
737901,1276
737902,1270
737903,777
737904,976
737905,811
737906,388
737907,205
737908,755
737909,569
737910,522
737911,586
737912,237
737913,286
737914,140
737915,670
737916,546
737917,552
737918,442
737919,483
737920,240
737921,118
737922,476
737923,395
737924,321
737925,305
737926,346
737927,147
737928,81
737929,317
737930,292
737931,385
737932,70
737933,248
737934,123
737935,75
737936,314
737937,202
737938,182
737939,171
737940,165
737941,61
737942,49
737943,59
737944,181
737945,159
737946,172
737947,154
737948,69
737949,53
737950,152
737951,145
737952,119
737953,95
737954,89
737955,49
737956,22
737957,147
737958,99
737959,123
737960,108
737961,121
737962,50
737963,20
737964,143
737965,110
737966,100
737967,76
737968,113
737969,41
737970,24
737971,127
737972,100
737973,135
737974,93
737975,94
737976,64
737977,24
737978,112
737979,99
737980,137
737981,124
737982,127
737983,62
737984,43
737985,224
737986,207
737987,260
737988,226
737989,274
737990,130
737991,64
737992,443
737993,145
737994,553
737995,439
737996,496
737997,229
737998,184
737999,595
738000,685
738001,703
738002,635
738003,684
738004,309
738005,148
738006,794
738007,813
738008,767
738009,769
738010,771
738011,304
738012,122
738013,873
738014,718
738015,609
738016,669
738017,587
738018,163
738019,132
738020,707
738021,725
738022,612
738023,581
738024,510
738025,203
738026,115
738027,607
738028,527
738029,526
738030,535
738031,614
738032,195
738033,117
738034,634
738035,565
738036,574
738037,677
738038,728
738039,322
738040,155
738041,918
738042,871
738043,1024
738044,1143
738045,1284
738046,617
738047,301
738048,1724
738049,1628
738050,1941
738051,1750
738052,1709
738053,894
738054,461
738055,2202
738056,2074
738057,2096
738058,1795
738059,1622
738060,944
738061,539
738062,2782
738063,2984
738064,3241
738065,3407
738066,3720
738067,1709
738068,1035
738069,5248
738070,5687
738071,6798
738072,6582
738073,7783
738074,4307
738075,2402
738076,9718
738077,12556
738078,12248
738079,11746
738080,13256
738081,7817
738082,4277
738083,15127
738084,18753
738085,16737
738086,16649
738087,17669
738088,10868
738089,4692
738090,15446
738091,6402
738092,103
